Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Temp_Media,Ano
NE,BA,9,1584.0650134408602,0.01893304571475981,26.01223203026482,24.41988724872042,25.21605963949262,2021
NE,BA,10,1527.4786014669926,0.1089078777946857,27.106705729166666,25.70260959201389,26.404657660590278,2021
NE,BA,11,1373.754159575533,0.3097688564476886,25.695610030994644,24.527258382642998,25.11143420681882,2021
NE,BA,12,1217.0965590259398,0.38796337650736934,25.24117432720837,24.189698610171256,24.715436468689813,2021
NE,CE,1,1181.843063352045,0.10199589628800595,27.616207349081364,26.48149606299213,27.048851706036746,2021
NE,CE,2,1212.5662935721139,0.2010981770261366,27.54772018706157,26.449220576773186,26.99847038191738,2021
NE,CE,3,1150.2111963190184,0.28199489495385827,26.610910163161,25.569294279536074,26.090102221348538,2021
NE,CE,4,1185.3904708935854,0.26041433370660694,26.76896712520401,25.666775472138028,26.21787129867102,2021
NE,CE,5,1006.1764387794515,0.17024421593830333,26.413925039042166,25.331780322748568,25.872852680895367,2021
NE,CE,6,1118.6161528441164,0.03237718430596769,27.480415667466026,26.171675992539303,26.826045830002663,2021
NE,CE,7,1205.0885457388586,0.032988435788192334,27.882415940224156,26.511581569115815,27.196998754669984,2021
NE,CE,8,1381.735722867441,0.000931470392548237,29.13937198067633,27.696806226516372,28.41808910359635,2021
NE,CE,9,1452.4386036960987,0.014663774403470714,29.77789757412399,28.335822102425876,29.05685983827493,2021
NE,CE,10,1417.5932629870128,0.006330275229357798,30.270189925681258,28.832287365813375,29.55123864574732,2021
NE,CE,11,1413.17356870229,0.011601513240857501,30.422442133512245,29.00023482053002,29.711338477021133,2021
NE,CE,12,1212.6085203657524,0.08733663812528167,29.864018438177876,28.62131236442516,29.24266540130152,2021
NE,MA,1,1287.8529257849668,0.19174603174603175,27.150045717768975,26.165650716245047,26.65784821700701,2021
NE,MA,2,1189.3083621502672,0.46987860394537173,26.872898605352432,25.967941952506596,26.420420278929512,2021
NE,MA,3,1130.0775427682736,0.3923981405523653,26.71784702549575,25.713349858356942,26.215598441926346,2021
NE,MA,4,1236.9807783417937,0.1836111111111111,27.331825733800997,26.28619161897729,26.809008676389144,2021
NE,MA,5,1267.286096063561,0.10387096774193548,27.527272727272727,26.383851417399804,26.955562072336264,2021
NE,MA,6,1181.6770807193643,0.0525,27.303167922020382,26.009370846256093,26.656269384138238,2021
NE,MA,7,1259.1474928658783,0.03204301075268817,27.511039518900343,26.118363402061856,26.8147014604811,2021
NE,MA,8,1210.0670470756063,0.010106843777071902,28.377670144063586,26.903873851502357,27.64077199778297,2021
NE,MA,9,1345.0646886446887,0.09423614997202015,29.160427606901724,27.915266316579146,28.537846961740435,2021
NE,MA,10,1801.2042400881057,0.09256097560975611,28.869201664774877,27.730419977298524,28.2998108210367,2021
NE,MA,11,1737.3565313653137,0.18870853916725477,28.480724396336385,27.393338884263116,27.93703164029975,2021
NE,MA,12,1764.6332654446705,0.41612660135644314,28.46987899740709,27.45401901469317,27.96194900605013,2021
NE,PB,1,1421.5983676642052,0.02727272727272727,27.503097713097713,26.222453222453222,26.862775467775467,2021
NE,PB,2,1443.347490946715,0.19886524822695034,26.95528139728306,25.700859439977823,26.32807041863044,2021
NE,PB,3,1448.311479944675,0.16457364341085273,26.295004945598418,25.11003956478734,25.70252225519288,2021
NE,PB,4,1615.8876863253404,0.18767395626242545,25.59042454291912,24.450480322280754,25.02045243259994,2021
NE,PB,5,1274.0823242867084,0.26049180327868854,24.28258258258258,23.23903903903904,23.76081081081081,2021
NE,PB,6,1297.4557707203717,0.04342592592592592,24.19681784930505,22.96795903438186,23.582388441843456,2021
NE,PB,7,1377.563711001642,0.07337897704389851,24.388050784167287,23.173749066467515,23.7808999253174,2021
NE,PB,8,1570.7274566473989,0.07989949748743719,24.3743979721166,23.13675538656527,23.755576679340933,2021
NE,PB,9,1668.832327919567,0.01422893481717011,26.38438498402556,25.00658945686901,25.695487220447284,2021
NE,PB,10,1872.9498226950354,0.01775933609958506,27.209162848812994,25.779675135360268,26.49441899208663,2021
NE,PB,11,1934.340220994475,0.01207645525629887,27.616615919965202,26.185776424532406,26.901196172248802,2021
